"Name","Station","Uni","Longitude","Latitude","Trawling_intensity","Pollution_intensity","Eutrophication_intensity","Reference_stations","High_impact","Depth"
"AS1","b_1","AS1_b_1",12.55058333,45.42166665,0,NA,NA,"yes","no",16.9
"AS1","b_27","AS1_b_27",13.192375,43.79503333,0,NA,NA,"yes","no",13.5
"AS1","b_48","AS1_b_48",12.62965002,44.0598,0,NA,NA,"yes","no",8.6
"AS1","b_19","AS1_b_19",13.16346667,44.46231667,0.6036,NA,NA,"no","no",46.3
"AS1","b_5","AS1_b_5",12.51449165,45.15134166,1.6734,NA,NA,"no","no",25
"AS1","b_57","AS1_b_57",12.71600002,45.077625,1.7788,NA,NA,"no","no",28.4
"AS1","b_54","AS1_b_54",12.98120832,44.2334,2.0866,NA,NA,"no","no",47.8
"AS1","b_26","AS1_b_26",13.33643333,44.04086667,2.712,NA,NA,"no","yes",58.5
"AS1","b_6","AS1_b_6",12.88043334,45.25941667,2.9066,NA,NA,"no","yes",31.8
"AS1","b_56","AS1_b_56",12.89721667,45.329625,3.3316,NA,NA,"no","yes",29.3
"AS1","b_51","AS1_b_51",13.06459167,45.33085833,4.0524,NA,NA,"no","yes",31
"AS1","b_3","AS1_b_3",13.49351665,45.64353333,10.5928,NA,NA,"no","yes",14.8
"AS2","b_16","AS2_b_16",12.38500832,44.28898333,0,NA,NA,"yes","no",8.2
"AS2","b_24","AS2_b_24",13.01837499,43.92299999,0,NA,NA,"yes","no",14.4
"AS2","b_64","AS2_b_64",12.52158335,44.13541666,0,NA,NA,"yes","no",9.1
"AS2","b_8","AS2_b_8",12.47531665,44.828175,0.002,NA,NA,"yes","no",9.6
"AS2","b_37","AS2_b_37",13.91901665,43.11725833,2.4728,NA,NA,"no","no",15.9
"AS2","b_65","AS2_b_65",12.76023331,44.08451666,3.7424,NA,NA,"no","no",14.9
"AS2","b_38","AS2_b_38",14.16210833,43.378525,5.1494,NA,NA,"no","no",71.1
"AS2","b_63","AS2_b_63",12.60864998,44.19915,5.166,NA,NA,"no","no",20
"AS2","b_18","AS2_b_18",12.84635,44.386575,5.5958,NA,NA,"no","no",40.6
"AS2","b_35","AS2_b_35",14.35385834,43.45093333,5.8418,NA,NA,"no","no",78.9
"AS2","b_17","AS2_b_17",12.55913334,44.33529167,6.3238,NA,NA,"no","no",20.1
"AS2","b_67","AS2_b_67",13.98763332,43.35106665,7.9306,NA,NA,"no","yes",46.2
"AS2","b_21","AS2_b_21",12.75885833,44.14813333,11.6738,NA,NA,"no","yes",19
"AS2","b_50","AS2_b_50",14.02130833,43.05349167,12.8576,NA,NA,"no","yes",27
"AS2","b_12","AS2_b_12",12.53900832,44.83095001,18.2654,NA,NA,"no","yes",21.5
"AS2","b_34","AS2_b_34",13.87833335,43.38485832,18.8224,NA,NA,"no","yes",21.2
"CO","BREEVTN03","CO_BREEVTN03",4.4422,53.1878,0.06,NA,NA,"yes","no",27.17000008
"CO","ROTTMPT50","CO_ROTTMPT50",6.31,53.9539,0.25,NA,NA,"yes","no",31.88999939
"CO","NOORDWK30","CO_NOORDWK30",4.0481,52.3875,1.52,NA,NA,"no","no",23.59000015
"CO","BREEVTN17","CO_BREEVTN17",3.5,52.25,1.69,NA,NA,"no","no",25.10000038
"CO","BREEVTN22","CO_BREEVTN22",3.4072,52.1033,1.78,NA,NA,"no","no",28.59000015
"CO","BREEVTN19","CO_BREEVTN19",3.9875,52.275,1.82,NA,NA,"no","no",23.78000069
"CO","BREEVTN07","CO_BREEVTN07",3.8417,52.7611,1.9,NA,NA,"no","no",29.31999969
"CO","BREEVTN14","CO_BREEVTN14",3.2033,52.4619,1.96,NA,NA,"no","no",35.15999985
"CO","BREEVTN15","CO_BREEVTN15",3.1903,52.3403,2.19,NA,NA,"no","no",36.11000061
"CO","BREEVTN25","CO_BREEVTN25",2.88,51.8778,2.35,NA,NA,"no","no",31.46999931
"CO","BREEVTN12","CO_BREEVTN12",3.2883,52.8367,2.64,NA,NA,"no","yes",34.36999893
"CO","BREEVTN23","CO_BREEVTN23",3.1928,51.9353,2.91,NA,NA,"no","yes",29.19000053
"CO","BREEVTN20","CO_BREEVTN20",4.1639,52.3856,2.97,NA,NA,"no","yes",22.20000076
"CO","BREEVTN18","CO_BREEVTN18",3,52,3.27,NA,NA,"no","yes",34.52000046
"CO","WALCRN30","CO_WALCRN30",3.1136,51.7183,3.61,NA,NA,"no","yes",24.56999969
"DB","A","DB_A",2.028,55.05,0.14,NA,NA,"yes","no",30
"DB","F","DB_F",1.98,54.992,0.2,NA,NA,"yes","no",26
"DB","G","DB_G",1.722,55.048,0.25,NA,NA,"yes","no",28
"DB","D","DB_D",1.933,55.047,0.27,NA,NA,"yes","no",29
"DB","C","DB_C",1.884,54.993,0.6,NA,NA,"no","no",25
"DB","E","DB_E",1.795,55.072,3.68,NA,NA,"no","yes",28
"DB","B","DB_B",1.798,55.009,4.94,NA,NA,"no","yes",25
"FC","FC126","FC_FC126",-45.1152,48.6602,0,NA,NA,"yes","no",989
"FC","FC135","FC_FC135",-44.6353,48.4157,0,NA,NA,"yes","no",842
"FC","FC146","FC_FC146",-45.817,48.4647,0,NA,NA,"yes","no",1170
"FC","FC156","FC_FC156",-46.4413,47.9413,0,NA,NA,"yes","no",1178
"FC","FC157","FC_FC157",-46.3117,47.8437,0,NA,NA,"yes","no",1168
"FC","FC160","FC_FC160",-46.4213,47.4775,0,NA,NA,"yes","no",1094
