"","A","AMBI","B","BENTIX","DKI","Dm'","H'","IS","Lf","Lm","M-AMBI","mT","mTDI","pTDI","R","SI","SoS","TDI"
"M-AMBI",0.221561954857038,0.433917228972126,0.429799804643091,0.229313710736116,0.901775180199845,0.891269354098044,0.882840849269035,0.734413465370087,0.159845159470969,0.0847634799990629,NA,0.0434887300282996,0.0893854784699386,-0.116901411160165,0.814533767434656,0.743177470997631,-0.00191334858836352,0.148056192184381
"DKI",0.518527374436685,0.452104159572228,0.644089385676172,0.183086110383379,NA,0.746140670546969,0.820597631529878,0.6790724595475,0.291086439017189,0.168010915185405,0.901775180199845,-0.182129577644488,-0.142905321511671,-0.368948798132466,0.764839273515838,0.701606233442972,0.0192622356431589,-0.0652835726525643
"R",0.522236068545922,0.150108241397536,0.604529634903619,0.0424091840548085,0.764839273515838,0.927346202281182,0.608159270993975,0.486867179085865,0.169008902242546,0.105638187442068,0.814533767434656,-0.0452053869259563,0.0293075268794583,-0.0968057441132496,NA,0.425883014473511,0.0659483608520846,0.11847391154918
"Dm'",0.229800043054143,0.194267149724354,0.440097498920235,0.140953484658467,0.746140670546969,NA,0.739298898068181,0.578335055368405,0.158610504828464,0.0912462223208756,0.891269354098044,-0.0398251699461522,0.0458032128701622,-0.143909936197388,0.927346202281182,0.566584018106023,0.012302858051641,0.118825882967947
"SI",-0.11341517811375,0.152335514031075,0.135598434645511,0.0840659833258167,0.701606233442972,0.566584018106023,0.944570094300426,0.90361264926576,0.183464527539139,0.0922993069348312,0.743177470997631,0.0734407745765706,0.0131252226454545,-0.0948420007046979,0.425883014473511,NA,0.0592134045068048,0.0278798634829801
"H'",0.00394823855524268,0.224151892318313,0.267031097480296,0.127494870218542,0.820597631529878,0.739298898068181,NA,0.915204535178118,0.176248564747971,0.104443573649244,0.882840849269035,0.0730037232580796,0.0726330128053631,-0.127474832528445,0.608159270993975,0.944570094300426,0.0542120069096153,0.108855020274305
"IS",-0.0296594833452026,0.101259304550434,0.227938675833603,0.0212003299634862,0.6790724595475,0.578335055368405,0.915204535178118,NA,0.156487513117644,0.0615838300945176,0.734413465370087,0.117762240813507,0.0989614830766084,-0.0539991511672901,0.486867179085865,0.90361264926576,0.0525896413323984,0.122442719275796
"BENTIX",-0.104851491261644,0.583911963919016,0.00674657079421139,NA,0.183086110383379,0.140953484658467,0.127494870218542,0.0212003299634862,-0.0209711898148439,-0.0473725570947935,0.229313710736116,-0.093370348889056,-0.1684936854691,0.0671855827151556,0.0424091840548085,0.0840659833258167,-0.13390309952637,-0.190061044698075
"AMBI",0.0547382195003601,NA,0.0970283898880637,0.583911963919016,0.452104159572228,0.194267149724354,0.224151892318313,0.101259304550434,0.0629972258044355,-0.025011382167527,0.433917228972126,0.0517384141855763,0.0719517445996445,-0.0452366816595329,0.150108241397536,0.152335514031075,-0.128179925334141,0.0808707815432304
"B",0.680948708327563,0.0970283898880637,NA,0.00674657079421139,0.644089385676172,0.440097498920235,0.267031097480296,0.227938675833603,0.265409744563424,0.23772420634212,0.429799804643091,-0.0302653280026548,-0.0303585865645699,-0.12801568383707,0.604529634903619,0.135598434645511,0.114916751155093,-0.0013147375206273
"A",NA,0.0547382195003601,0.680948708327563,-0.104851491261644,0.518527374436685,0.229800043054143,0.00394823855524268,-0.0296594833452026,0.114012837309551,0.0152497356158448,0.221561954857038,-0.116128412269884,-0.12779379411602,-0.104157846392719,0.522236068545922,-0.11341517811375,-0.00624194227232457,-0.0461579972634286
"TDI",-0.0461579972634286,0.0808707815432304,-0.0013147375206273,-0.190061044698075,-0.0652835726525643,0.118825882967947,0.108855020274305,0.122442719275796,0.182509476564315,0.159304456334157,0.148056192184381,0.727360864598595,0.960256305458208,0.305311792874549,0.11847391154918,0.0278798634829801,0.0188239431747502,NA
"mTDI",-0.12779379411602,0.0719517445996445,-0.0303585865645699,-0.1684936854691,-0.142905321511671,0.0458032128701622,0.0726330128053631,0.0989614830766084,0.175546050424955,0.153557514353124,0.0893854784699386,0.779689076365346,NA,0.335475215111,0.0293075268794583,0.0131252226454545,0.0635211354516931,0.960256305458208
