"","A","AMBI","B","BENTIX","DKI","Dm'","H'","IS","Lf","Lm","M-AMBI","mT","mTDI","pTDI","R","SI","SoS","TDI"
"M-AMBI",0.57663241683287,0.447239951012836,0.451603334027979,0.532390099371586,0.0838744392479038,0.0744577945273618,0.0869964691287839,0.179125437474745,0.447344700650586,0.506338211644954,NA,0.517393861771935,0.608952300112593,0.568047593620699,0.175635946679424,0.207856231218946,0.609480236512259,0.57191424934376
"DKI",0.503152250490788,0.433328828970459,0.239728704261605,0.555768427466001,NA,0.147196914750179,0.20279717369873,0.268073306925242,0.368547865357296,0.451885527819848,0.0838744392479038,0.574238419624444,0.673383801602351,0.6057101763419,0.210096766782452,0.331895188719686,0.540097351152467,0.660661577806814
"R",0.404892474970435,0.457725511531777,0.32323799387824,0.482727104282731,0.210096766782452,0.0436352971632292,0.298675536880104,0.303292845064085,0.373389129242264,0.388007086117564,0.175635946679424,0.423262188078927,0.497427314400605,0.513318299694037,NA,0.337840679009718,0.507344620173086,0.437779597240325
"Dm'",0.475947714870876,0.46150936925297,0.419926205476368,0.4947647217447,0.147196914750179,NA,0.17814651597639,0.21311969888308,0.386901236936505,0.432800593472298,0.0744577945273618,0.419019430740212,0.492326292252188,0.492603293627933,0.0436352971632292,0.241362374732826,0.561246338155735,0.440259690133945
"SI",0.609833253042021,0.57015463856823,0.430816257747056,0.560294505356875,0.331895188719686,0.241362374732826,0.0633583531192449,0.054364356718497,0.394794654669177,0.447566049392884,0.207856231218946,0.489210067584179,0.558432716795277,0.542522818697843,0.337840679009718,NA,0.445762818354751,0.545139920357409
"H'",0.614218858530138,0.511377173316129,0.42236514078679,0.539299767189883,0.20279717369873,0.17814651597639,NA,0.0637040549269821,0.387154955160994,0.45079827729526,0.0869964691287839,0.492612521491439,0.579408082430194,0.553681069140126,0.298675536880104,0.0633583531192449,0.50424025275919,0.553792412287823
"IS",0.52446364626941,0.530496877566101,0.37923755216616,0.529210241132108,0.268073306925242,0.21311969888308,0.0637040549269821,NA,0.362972092836927,0.444880770802833,0.179125437474745,0.429436460848304,0.499870306498736,0.512106307553012,0.303292845064085,0.054364356718497,0.425715458991085,0.481270230080207
"BENTIX",0.511066345886572,0.44671684925668,0.527535630407437,NA,0.555768427466001,0.4947647217447,0.539299767189883,0.529210241132108,0.534862083323466,0.527013930575504,0.532390099371586,0.492154063180225,0.532908346728497,0.567678527983865,0.482727104282731,0.560294505356875,0.51709749865607,0.504757211772703
"AMBI",0.553910408945811,NA,0.57292490979275,0.44671684925668,0.433328828970459,0.46150936925297,0.511377173316129,0.530496877566101,0.490381542595789,0.51750793588834,0.447239951012836,0.630243115441421,0.61606738317255,0.56460623049414,0.457725511531777,0.57015463856823,0.46209845085854,0.585831118373241
"B",0.251837600861273,0.57292490979275,NA,0.527535630407437,0.239728704261605,0.419926205476368,0.42236514078679,0.37923755216616,0.379465509948282,0.354761632693022,0.451603334027979,0.504550235044384,0.551514354735744,0.526930290342675,0.32323799387824,0.430816257747056,0.534760670721071,0.498001713998325
"A",NA,0.553910408945811,0.251837600861273,0.511066345886572,0.503152250490788,0.475947714870876,0.614218858530138,0.52446364626941,0.374937680615713,0.348520944627082,0.57663241683287,0.570449504680043,0.563067834189618,0.517805281149771,0.404892474970435,0.609833253042021,0.405315533154792,0.556893239113338
"TDI",0.556893239113338,0.585831118373241,0.498001713998325,0.504757211772703,0.660661577806814,0.440259690133945,0.553792412287823,0.481270230080207,0.58814709461305,0.618304663968532,0.57191424934376,0.460237162851642,0.0394837536466484,0.667430608670038,0.437779597240325,0.545139920357409,0.617960811558672,NA
"mTDI",0.563067834189618,0.61606738317255,0.551514354735744,0.532908346728497,0.673383801602351,0.492326292252188,0.579408082430194,0.499870306498736,0.602705663227053,0.614291680013659,0.608952300112593,0.42024004150659,NA,0.669665747850077,0.497427314400605,0.558432716795277,0.615941217626815,0.0394837536466484
"mT",0.570449504680043,0.630243115441421,0.504550235044384,0.492154063180225,0.574238419624444,0.419019430740212,0.492612521491439,0.429436460848304,0.648903770536695,0.61142826920208,0.517393861771935,NA,0.42024004150659,0.537360236563448,0.423262188078927,0.489210067584179,0.505098804350925,0.460237162851642
"pTDI",0.517805281149771,0.56460623049414,0.526930290342675,0.567678527983865,0.6057101763419,0.492603293627933,0.553681069140126,0.512106307553012,0.469122451947661,0.499856040085894,0.568047593620699,0.537360236563448,0.669665747850077,NA,0.513318299694037,0.542522818697843,0.471429730083367,0.667430608670038
"Lm",0.348520944627082,0.51750793588834,0.354761632693022,0.527013930575504,0.451885527819848,0.432800593472298,0.45079827729526,0.444880770802833,0.179999472354732,NA,0.506338211644954,0.61142826920208,0.614291680013659,0.499856040085894,0.388007086117564,0.447566049392884,0.469618758452523,0.618304663968532
"Lf",0.374937680615713,0.490381542595789,0.379465509948282,0.534862083323466,0.368547865357296,0.386901236936505,0.387154955160994,0.362972092836927,NA,0.179999472354732,0.447344700650586,0.648903770536695,0.602705663227053,0.469122451947661,0.373389129242264,0.394794654669177,0.444960127042366,0.58814709461305
"SoS",0.405315533154792,0.46209845085854,0.534760670721071,0.51709749865607,0.540097351152467,0.561246338155735,0.50424025275919,0.425715458991085,0.444960127042366,0.469618758452523,0.609480236512259,0.505098804350925,0.615941217626815,0.471429730083367,0.507344620173086,0.445762818354751,NA,0.617960811558672
